#NUMBER OF AGES= 1 MAGS=10
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2452 1.3168E-04 1.7223E-04  -2.00  -0.20 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
#----------------------------------------------------       
#AGE=13.500 EEPS=266
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51
  80  0.626958  3.7493  4.6449 -0.4595  6.4569  6.6680  6.0756  5.7022  5.3159  4.8169  4.4605  4.4013  5.8224  6.2022
  81  0.630229  3.7513  4.6394 -0.4437  6.3994  6.6188  6.0340  5.6641  5.2811  4.7868  4.4333  4.3755  5.7833  6.1588
  82  0.634913  3.7541  4.6314 -0.4210  6.3176  6.5486  5.9742  5.6094  5.2310  4.7435  4.3939  4.3381  5.7270  6.0966
  83  0.639573  3.7569  4.6232 -0.3983  6.2360  6.4780  5.9144  5.5549  5.1813  4.7002  4.3544  4.3007  5.6710  6.0342
  84  0.644210  3.7597  4.6148 -0.3756  6.1547  6.4074  5.8545  5.5006  5.1320  4.6572  4.3147  4.2631  5.6150  5.9718
  85  0.648817  3.7625  4.6062 -0.3527  6.0745  6.3371  5.7948  5.4462  5.0827  4.6140  4.2748  4.2254  5.5591  5.9094
  86  0.653386  3.7653  4.5973 -0.3300  5.9963  6.2679  5.7353  5.3917  5.0327  4.5703  4.2348  4.1874  5.5030  5.8475
  87  0.657903  3.7680  4.5884 -0.3071  5.9199  6.1995  5.6760  5.3372  4.9825  4.5263  4.1947  4.1492  5.4471  5.7860
  88  0.662365  3.7707  4.5791 -0.2843  5.8446  6.1317  5.6169  5.2826  4.9320  4.4820  4.1542  4.1105  5.3910  5.7247
  89  0.666771  3.7732  4.5697 -0.2614  5.7703  6.0642  5.5580  5.2281  4.8816  4.4376  4.1137  4.0717  5.3351  5.6636
  90  0.671119  3.7758  4.5602 -0.2386  5.6967  5.9969  5.4990  5.1735  4.8312  4.3931  4.0729  4.0328  5.2793  5.6026
  91  0.675404  3.7784  4.5503 -0.2157  5.6240  5.9299  5.4401  5.1190  4.7807  4.3484  4.0320  3.9935  5.2233  5.5417
  92  0.679624  3.7809  4.5402 -0.1927  5.5521  5.8630  5.3812  5.0645  4.7301  4.3036  3.9906  3.9540  5.1674  5.4808
  93  0.683775  3.7834  4.5298 -0.1697  5.4810  5.7965  5.3224  5.0099  4.6794  4.2583  3.9491  3.9141  5.1114  5.4199
  94  0.687849  3.7859  4.5191 -0.1468  5.4106  5.7301  5.2635  4.9551  4.6285  4.2129  3.9072  3.8737  5.0553  5.3591
  95  0.691848  3.7883  4.5082 -0.1237  5.3409  5.6638  5.2046  4.9002  4.5775  4.1672  3.8649  3.8331  4.9992  5.2984
  96  0.695764  3.7906  4.4968 -0.1006  5.2720  5.5978  5.1457  4.8452  4.5262  4.1211  3.8222  3.7919  4.9429  5.2377
  97  0.699593  3.7928  4.4851 -0.0775  5.2040  5.5321  5.0868  4.7901  4.4744  4.0743  3.7789  3.7500  4.8865  5.1770
  98  0.703331  3.7950  4.4730 -0.0544  5.1370  5.4668  5.0279  4.7347  4.4225  4.0273  3.7353  3.7077  4.8300  5.1165
  99  0.706959  3.7971  4.4606 -0.0314  5.0707  5.4020  4.9692  4.6796  4.3707  3.9802  3.6915  3.6652  4.7736  5.0563
 100  0.710482  3.7991  4.4479 -0.0084  5.0052  5.3373  4.9109  4.6248  4.3191  3.9331  3.6474  3.6224  4.7176  4.9964
 101  0.713896  3.8011  4.4350  0.0145  4.9395  5.2729  4.8531  4.5707  4.2685  3.8863  3.6029  3.5795  4.6622  4.9370
 102  0.717202  3.8029  4.4216  0.0372  4.8746  5.2090  4.7957  4.5169  4.2179  3.8393  3.5581  3.5362  4.6071  4.8780
 103  0.720401  3.8047  4.4079  0.0599  4.8108  5.1456  4.7384  4.4631  4.1672  3.7921  3.5130  3.4925  4.5521  4.8192
 104  0.723493  3.8064  4.3939  0.0824  4.7485  5.0832  4.6814  4.4092  4.1162  3.7444  3.4676  3.4482  4.4970  4.7609
 105  0.726478  3.8079  4.3795  0.1047  4.6878  5.0216  4.6244  4.3549  4.0643  3.6961  3.4219  3.4034  4.4418  4.7028
 106  0.729360  3.8094  4.3647  0.1271  4.6281  4.9608  4.5677  4.3007  4.0124  3.6476  3.3760  3.3583  4.3867  4.6451
 107  0.732146  3.8107  4.3497  0.1492  4.5695  4.9006  4.5115  4.2465  3.9605  3.5989  3.3297  3.3126  4.3319  4.5879
 108  0.734835  3.8120  4.3343  0.1712  4.5117  4.8411  4.4555  4.1927  3.9087  3.5499  3.2831  3.2667  4.2772  4.5311
 109  0.737436  3.8132  4.3186  0.1930  4.4545  4.7821  4.3999  4.1392  3.8571  3.5009  3.2363  3.2204  4.2230  4.4747
 110  0.739955  3.8142  4.3026  0.2148  4.3980  4.7235  4.3450  4.0861  3.8059  3.4521  3.1891  3.1740  4.1693  4.4189
 111  0.742396  3.8152  4.2863  0.2363  4.3421  4.6655  4.2903  4.0333  3.7548  3.4030  3.1416  3.1272  4.1157  4.3635
 112  0.743088  3.8154  4.2815  0.2425  4.3261  4.6488  4.2746  4.0181  3.7401  3.3888  3.1278  3.1135  4.1003  4.3475
 113  0.743781  3.8157  4.2766  0.2489  4.3099  4.6320  4.2586  4.0026  3.7250  3.3743  3.1138  3.0996  4.0846  4.3313
 114  0.744472  3.8159  4.2718  0.2551  4.2938  4.6153  4.2428  3.9874  3.7102  3.3600  3.0998  3.0859  4.0691  4.3153
 115  0.745164  3.8162  4.2668  0.2614  4.2777  4.5985  4.2269  3.9720  3.6952  3.3454  3.0857  3.0719  4.0535  4.2992
 116  0.745856  3.8164  4.2618  0.2678  4.2612  4.5814  4.2107  3.9562  3.6799  3.3307  3.0712  3.0578  4.0375  4.2827
 117  0.746543  3.8166  4.2567  0.2742  4.2451  4.5645  4.1947  3.9406  3.6648  3.3160  3.0569  3.0436  4.0219  4.2666
 118  0.747221  3.8169  4.2517  0.2807  4.2282  4.5470  4.1781  3.9246  3.6493  3.3011  3.0424  3.0293  4.0057  4.2498
 119  0.747895  3.8173  4.2467  0.2875  4.2106  4.5285  4.1610  3.9082  3.6335  3.2860  3.0279  3.0151  3.9889  4.2323
 120  0.748565  3.8176  4.2418  0.2942  4.1932  4.5104  4.1440  3.8918  3.6178  3.2710  3.0135  3.0008  3.9724  4.2151
 121  0.749232  3.8180  4.2370  0.3011  4.1752  4.4914  4.1266  3.8753  3.6020  3.2560  2.9992  2.9870  3.9555  4.1973
 122  0.749897  3.8184  4.2323  0.3079  4.1572  4.4725  4.1092  3.8587  3.5862  3.2411  2.9849  2.9730  3.9386  4.1796
 123  0.750559  3.8189  4.2275  0.3148  4.1390  4.4534  4.0916  3.8420  3.5703  3.2262  2.9707  2.9591  3.9215  4.1616
 124  0.751218  3.8193  4.2227  0.3218  4.1207  4.4341  4.0738  3.8251  3.5542  3.2110  2.9562  2.9449  3.9043  4.1435
 125  0.751873  3.8197  4.2175  0.3289  4.1024  4.4150  4.0559  3.8080  3.5377  3.1954  2.9412  2.9302  3.8868  4.1253
 126  0.752524  3.8200  4.2121  0.3360  4.0841  4.3958  4.0378  3.7905  3.5207  3.1791  2.9256  2.9147  3.8691  4.1069
 127  0.753169  3.8203  4.2061  0.3432  4.0658  4.3766  4.0194  3.7726  3.5033  3.1623  2.9091  2.8984  3.8510  4.0884
 128  0.753807  3.8205  4.1999  0.3506  4.0475  4.3573  4.0009  3.7543  3.4855  3.1448  2.8921  2.8814  3.8327  4.0696
 129  0.754439  3.8206  4.1933  0.3580  4.0290  4.3379  3.9821  3.7359  3.4674  3.1269  2.8745  2.8639  3.8141  4.0507
 130  0.755065  3.8207  4.1866  0.3655  4.0103  4.3185  3.9631  3.7172  3.4490  3.1087  2.8563  2.8460  3.7953  4.0316
 131  0.755686  3.8208  4.1798  0.3731  3.9916  4.2989  3.9440  3.6983  3.4303  3.0903  2.8381  2.8278  3.7764  4.0124
 132  0.756303  3.8209  4.1727  0.3807  3.9728  4.2792  3.9248  3.6794  3.4115  3.0715  2.8194  2.8092  3.7572  3.9931
 133  0.756913  3.8209  4.1655  0.3884  3.9539  4.2594  3.9054  3.6601  3.3923  3.0524  2.8005  2.7902  3.7379  3.9736
 134  0.757518  3.8209  4.1582  0.3961  3.9349  4.2396  3.8859  3.6407  3.3730  3.0330  2.7811  2.7709  3.7184  3.9541
 135  0.758117  3.8209  4.1507  0.4040  3.9158  4.2196  3.8661  3.6211  3.3534  3.0134  2.7614  2.7513  3.6987  3.9343
 136  0.758709  3.8208  4.1428  0.4119  3.8966  4.1995  3.8462  3.6012  3.3335  2.9933  2.7412  2.7312  3.6788  3.9144
 137  0.759294  3.8207  4.1346  0.4198  3.8775  4.1796  3.8262  3.5810  3.3132  2.9726  2.7203  2.7102  3.6588  3.8944
 138  0.759869  3.8205  4.1261  0.4279  3.8583  4.1596  3.8060  3.5606  3.2926  2.9515  2.6988  2.6887  3.6384  3.8742
 139  0.760439  3.8203  4.1174  0.4360  3.8390  4.1395  3.7856  3.5400  3.2717  2.9300  2.6769  2.6668  3.6179  3.8539
 140  0.761000  3.8200  4.1084  0.4442  3.8196  4.1194  3.7651  3.5191  3.2506  2.9082  2.6544  2.6443  3.5971  3.8335
 141  0.761551  3.8196  4.0991  0.4525  3.8003  4.0993  3.7444  3.4980  3.2290  2.8858  2.6314  2.6213  3.5761  3.8130
 142  0.762094  3.8192  4.0894  0.4609  3.7809  4.0792  3.7235  3.4765  3.2070  2.8628  2.6079  2.5975  3.5548  3.7923
 143  0.762628  3.8188  4.0795  0.4693  3.7616  4.0592  3.7024  3.4547  3.1844  2.8394  2.5837  2.5731  3.5332  3.7715
 144  0.763151  3.8183  4.0692  0.4778  3.7422  4.0393  3.6811  3.4325  3.1615  2.8153  2.5589  2.5480  3.5114  3.7505
 145  0.763663  3.8177  4.0585  0.4863  3.7231  4.0195  3.6596  3.4100  3.1381  2.7906  2.5334  2.5221  3.4893  3.7295
 146  0.764164  3.8170  4.0475  0.4950  3.7038  3.9997  3.6380  3.3872  3.1142  2.7654  2.5072  2.4955  3.4669  3.7083
 147  0.764653  3.8162  4.0361  0.5037  3.6847  3.9802  3.6162  3.3641  3.0899  2.7396  2.4803  2.4680  3.4443  3.6870
 148  0.765130  3.8154  4.0242  0.5124  3.6658  3.9608  3.5942  3.3406  3.0650  2.7130  2.4526  2.4396  3.4214  3.6656
 149  0.765597  3.8144  4.0118  0.5212  3.6470  3.9416  3.5721  3.3169  3.0397  2.6858  2.4241  2.4104  3.3982  3.6442
 150  0.766048  3.8134  3.9990  0.5301  3.6284  3.9226  3.5500  3.2928  3.0139  2.6579  2.3947  2.3803  3.3749  3.6228
 151  0.766487  3.8122  3.9856  0.5390  3.6100  3.9038  3.5279  3.2688  2.9880  2.6294  2.3645  2.3493  3.3516  3.6016
 152  0.766911  3.8109  3.9717  0.5480  3.5919  3.8851  3.5061  3.2449  2.9622  2.6005  2.3332  2.3175  3.3284  3.5805
 153  0.767322  3.8095  3.9572  0.5571  3.5742  3.8667  3.4843  3.2210  2.9361  2.5710  2.3010  2.2847  3.3052  3.5596
 154  0.767719  3.8080  3.9422  0.5661  3.5568  3.8485  3.4626  3.1970  2.9098  2.5409  2.2678  2.2511  3.2819  3.5389
 155  0.768100  3.8063  3.9266  0.5752  3.5399  3.8307  3.4410  3.1729  2.8833  2.5100  2.2337  2.2165  3.2587  3.5183
 156  0.768468  3.8045  3.9104  0.5844  3.5235  3.8134  3.4194  3.1486  2.8562  2.4786  2.1986  2.1808  3.2352  3.4979
 157  0.768821  3.8025  3.8937  0.5935  3.5075  3.7967  3.3979  3.1242  2.8288  2.4463  2.1625  2.1440  3.2117  3.4777
 158  0.769158  3.8004  3.8764  0.6027  3.4921  3.7804  3.3765  3.0996  2.8010  2.4134  2.1255  2.1062  3.1882  3.4578
 159  0.769483  3.7982  3.8586  0.6118  3.4775  3.7645  3.3554  3.0750  2.7731  2.3799  2.0877  2.0675  3.1646  3.4380
 160  0.769795  3.7959  3.8402  0.6210  3.4635  3.7492  3.3343  3.0503  2.7449  2.3457  2.0489  2.0278  3.1411  3.4184
 161  0.770093  3.7934  3.8212  0.6302  3.4505  3.7346  3.3134  3.0255  2.7162  2.3109  2.0093  1.9873  3.1176  3.3990
 162  0.770325  3.7912  3.8052  0.6375  3.4416  3.7241  3.2966  3.0051  2.6924  2.2818  1.9761  1.9529  3.0984  3.3839
 163  0.770552  3.7885  3.7873  0.6449  3.4350  3.7154  3.2800  2.9838  2.6667  2.2499  1.9397  1.9149  3.0787  3.3693
 164  0.770776  3.7855  3.7675  0.6524  3.4310  3.7087  3.2634  2.9616  2.6396  2.2154  1.9002  1.8733  3.0584  3.3553
 165  0.770998  3.7823  3.7473  0.6601  3.4266  3.7010  3.2470  2.9400  2.6129  2.1812  1.8602  1.8316  3.0384  3.3409
 166  0.771216  3.7791  3.7268  0.6680  3.4224  3.6929  3.2301  2.9182  2.5863  2.1468  1.8201  1.7899  3.0181  3.3264
 167  0.771433  3.7762  3.7071  0.6760  3.4184  3.6845  3.2127  2.8956  2.5590  2.1126  1.7810  1.7491  2.9972  3.3114
 168  0.771646  3.7731  3.6872  0.6842  3.4154  3.6765  3.1952  2.8727  2.5311  2.0777  1.7413  1.7075  2.9759  3.2962
 169  0.771855  3.7700  3.6668  0.6925  3.4129  3.6685  3.1775  2.8496  2.5029  2.0422  1.7007  1.6650  2.9545  3.2810
 170  0.772058  3.7670  3.6461  0.7010  3.4095  3.6596  3.1594  2.8263  2.4748  2.0065  1.6597  1.6221  2.9329  3.2653
 171  0.772260  3.7642  3.6262  0.7099  3.4045  3.6490  3.1403  2.8027  2.4468  1.9715  1.6194  1.5802  2.9105  3.2483
 172  0.772456  3.7616  3.6068  0.7190  3.3979  3.6370  3.1204  2.7785  2.4185  1.9366  1.5798  1.5392  2.8876  3.2304
 173  0.772647  3.7592  3.5878  0.7286  3.3901  3.6236  3.0995  2.7536  2.3899  1.9018  1.5406  1.4985  2.8639  3.2114
 174  0.772830  3.7569  3.5690  0.7384  3.3809  3.6090  3.0778  2.7281  2.3608  1.8669  1.5014  1.4580  2.8395  3.1916
 175  0.773008  3.7550  3.5507  0.7485  3.3701  3.5928  3.0550  2.7019  2.3313  1.8320  1.4626  1.4180  2.8143  3.1705
 176  0.773177  3.7531  3.5328  0.7589  3.3575  3.5752  3.0313  2.6751  2.3017  1.7973  1.4244  1.3786  2.7884  3.1484
 177  0.773339  3.7514  3.5153  0.7696  3.3432  3.5562  3.0069  2.6478  2.2716  1.7628  1.3866  1.3399  2.7619  3.1253
 178  0.773496  3.7498  3.4983  0.7806  3.3279  3.5362  2.9817  2.6200  2.2414  1.7284  1.3493  1.3017  2.7348  3.1014
 179  0.773646  3.7484  3.4816  0.7917  3.3113  3.5152  2.9558  2.5917  2.2107  1.6942  1.3126  1.2641  2.7072  3.0767
 180  0.773792  3.7471  3.4652  0.8029  3.2945  3.4938  2.9296  2.5629  2.1797  1.6600  1.2765  1.2270  2.6792  3.0517
 181  0.773933  3.7459  3.4493  0.8143  3.2765  3.4716  2.9029  2.5338  2.1485  1.6261  1.2409  1.1906  2.6507  3.0260
 182  0.774085  3.7447  3.4321  0.8269  3.2556  3.4463  2.8732  2.5018  2.1142  1.5891  1.2023  1.1510  2.6193  2.9973
 183  0.774234  3.7436  3.4150  0.8398  3.2333  3.4199  2.8426  2.4691  2.0797  1.5520  1.1635  1.1116  2.5873  2.9677
 184  0.774383  3.7427  3.3980  0.8529  3.2096  3.3923  2.8113  2.4359  2.0447  1.5146  1.1248  1.0721  2.5546  2.9373
 185  0.774530  3.7418  3.3812  0.8661  3.1845  3.3637  2.7794  2.4022  2.0095  1.4772  1.0859  1.0327  2.5215  2.9062
 186  0.774676  3.7409  3.3645  0.8797  3.1587  3.3344  2.7471  2.3684  1.9742  1.4398  1.0471  0.9933  2.4880  2.8747
 187  0.774822  3.7402  3.3479  0.8932  3.1319  3.3045  2.7143  2.3342  1.9386  1.4022  1.0081  0.9540  2.4542  2.8426
 188  0.774966  3.7394  3.3314  0.9069  3.1040  3.2738  2.6812  2.2998  1.9030  1.3647  0.9692  0.9146  2.4202  2.8100
 189  0.775110  3.7387  3.3150  0.9208  3.0755  3.2426  2.6477  2.2653  1.8674  1.3271  0.9303  0.8754  2.3859  2.7771
 190  0.775253  3.7381  3.2985  0.9347  3.0465  3.2110  2.6141  2.2305  1.8316  1.2895  0.8913  0.8361  2.3515  2.7440
 191  0.775396  3.7375  3.2822  0.9487  3.0170  3.1790  2.5801  2.1955  1.7957  1.2520  0.8525  0.7969  2.3167  2.7105
 192  0.775539  3.7369  3.2660  0.9627  2.9870  3.1467  2.5459  2.1604  1.7598  1.2144  0.8136  0.7578  2.2819  2.6767
 193  0.775681  3.7364  3.2498  0.9769  2.9566  3.1140  2.5115  2.1252  1.7237  1.1767  0.7746  0.7187  2.2468  2.6428
 194  0.775823  3.7359  3.2337  0.9910  2.9260  3.0812  2.4771  2.0899  1.6876  1.1391  0.7358  0.6796  2.2118  2.6088
 195  0.775965  3.7354  3.2177  1.0051  2.8952  3.0482  2.4426  2.0546  1.6516  1.1017  0.6972  0.6409  2.1767  2.5747
 196  0.776107  3.7349  3.2017  1.0193  2.8639  3.0150  2.4079  2.0192  1.6156  1.0642  0.6585  0.6021  2.1415  2.5403
