NUMBER OF AGES= 1 MAGS=10
----------------------------------------------------       
MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
 1.9380  0.2452 1.3168E-04 1.7223E-04  -2.00  -0.20 
----------------------------------------------------       
**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
----------------------------------------------------       
AGE=13.000 EEPS=266
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51
  64  0.571850  3.7133  4.7243 -0.7222  7.5468  7.5418  6.7938  6.3519  5.9045  5.3155  4.9055  4.8206  6.4904  6.9570
  65  0.576246  3.7162  4.7192 -0.7024  7.4553  7.4725  6.7381  6.3019  5.8594  5.2780  4.8726  4.7897  6.4389  6.8979
  66  0.580582  3.7190  4.7142 -0.6829  7.3665  7.4046  6.6834  6.2528  5.8151  5.2409  4.8400  4.7592  6.3883  6.8400
  67  0.584856  3.7217  4.7091 -0.6637  7.2803  7.3382  6.6296  6.2044  5.7716  5.2045  4.8078  4.7289  6.3387  6.7831
  68  0.589068  3.7244  4.7040 -0.6446  7.1966  7.2730  6.5769  6.1570  5.7287  5.1686  4.7760  4.6991  6.2898  6.7274
  69  0.593212  3.7271  4.6988 -0.6259  7.1152  7.2092  6.5251  6.1102  5.6865  5.1332  4.7448  4.6697  6.2417  6.6729
  70  0.597289  3.7296  4.6936 -0.6074  7.0365  7.1466  6.4742  6.0643  5.6450  5.0984  4.7139  4.6407  6.1945  6.6194
  71  0.601298  3.7322  4.6884 -0.5891  6.9602  7.0856  6.4242  6.0192  5.6043  5.0641  4.6833  4.6119  6.1481  6.5671
  72  0.605239  3.7346  4.6831 -0.5712  6.8866  7.0259  6.3751  5.9748  5.5642  5.0301  4.6529  4.5833  6.1024  6.5155
  73  0.609104  3.7370  4.6778 -0.5534  6.8152  6.9676  6.3269  5.9313  5.5248  4.9966  4.6229  4.5550  6.0576  6.4650
  74  0.612896  3.7395  4.6724 -0.5360  6.7461  6.9106  6.2796  5.8885  5.4861  4.9636  4.5932  4.5270  6.0136  6.4154
  75  0.616612  3.7418  4.6671 -0.5188  6.6789  6.8549  6.2334  5.8465  5.4480  4.9311  4.5639  4.4994  5.9704  6.3669
  76  0.620252  3.7440  4.6617 -0.5019  6.6136  6.8007  6.1881  5.8053  5.4105  4.8990  4.5351  4.4722  5.9281  6.3195
  77  0.623820  3.7462  4.6562 -0.4853  6.5504  6.7477  6.1436  5.7648  5.3736  4.8673  4.5066  4.4452  5.8865  6.2731
  78  0.627313  3.7483  4.6508 -0.4689  6.4889  6.6960  6.1001  5.7251  5.3373  4.8362  4.4785  4.4186  5.8457  6.2275
  79  0.630737  3.7504  4.6454 -0.4527  6.4295  6.6454  6.0574  5.6860  5.3016  4.8054  4.4507  4.3923  5.8056  6.1829
  80  0.634091  3.7525  4.6400 -0.4368  6.3716  6.5960  6.0154  5.6477  5.2665  4.7751  4.4233  4.3663  5.7661  6.1392
  81  0.637374  3.7544  4.6345 -0.4212  6.3153  6.5475  5.9742  5.6101  5.2321  4.7454  4.3963  4.3407  5.7275  6.0964
  82  0.642083  3.7573  4.6265 -0.3987  6.2343  6.4776  5.9149  5.5561  5.1830  4.7027  4.3573  4.3038  5.6720  6.0345
  83  0.646768  3.7601  4.6184 -0.3761  6.1536  6.4073  5.8556  5.5023  5.1342  4.6602  4.3182  4.2668  5.6165  5.9725
  84  0.651431  3.7628  4.6100 -0.3535  6.0740  6.3377  5.7964  5.4485  5.0853  4.6175  4.2789  4.2296  5.5610  5.9108
  85  0.656050  3.7656  4.6014 -0.3310  5.9966  6.2691  5.7375  5.3945  5.0360  4.5744  4.2394  4.1922  5.5056  5.8495
  86  0.660624  3.7683  4.5926 -0.3084  5.9209  6.2015  5.6789  5.3405  4.9862  4.5309  4.1996  4.1543  5.4502  5.7886
  87  0.665149  3.7710  4.5837 -0.2857  5.8462  6.1342  5.6203  5.2865  4.9364  4.4871  4.1599  4.1164  5.3948  5.7279
  88  0.669626  3.7735  4.5746 -0.2631  5.7724  6.0672  5.5618  5.2324  4.8865  4.4434  4.1200  4.0782  5.3394  5.6673
  89  0.674053  3.7762  4.5653 -0.2404  5.6993  6.0004  5.5033  5.1784  4.8366  4.3993  4.0797  4.0398  5.2840  5.6067
  90  0.678425  3.7788  4.5558 -0.2177  5.6270  5.9337  5.4449  5.1244  4.7866  4.3552  4.0394  4.0011  5.2285  5.5462
  91  0.682742  3.7813  4.5459 -0.1949  5.5554  5.8673  5.3864  5.0703  4.7364  4.3108  3.9985  3.9620  5.1730  5.4857
  92  0.686997  3.7838  4.5359 -0.1721  5.4845  5.8009  5.3279  5.0160  4.6861  4.2661  3.9575  3.9228  5.1174  5.4252
  93  0.691188  3.7863  4.5255 -0.1492  5.4143  5.7347  5.2693  4.9616  4.6357  4.2211  3.9161  3.8830  5.0616  5.3646
  94  0.695308  3.7887  4.5148 -0.1262  5.3446  5.6686  5.2106  4.9070  4.5850  4.1758  3.8743  3.8428  5.0057  5.3041
  95  0.699356  3.7911  4.5037 -0.1032  5.2757  5.6026  5.1517  4.8522  4.5338  4.1300  3.8322  3.8020  4.9496  5.2434
  96  0.703318  3.7934  4.4925 -0.0802  5.2078  5.5369  5.0929  4.7972  4.4824  4.0838  3.7894  3.7608  4.8933  5.1829
  97  0.707182  3.7957  4.4808 -0.0571  5.1408  5.4716  5.0343  4.7421  4.4309  4.0373  3.7465  3.7192  4.8371  5.1225
  98  0.710944  3.7978  4.4687 -0.0342  5.0745  5.4067  4.9758  4.6873  4.3795  3.9907  3.7032  3.6773  4.7810  5.0624
  99  0.714601  3.7999  4.4564 -0.0112  5.0083  5.3418  4.9177  4.6329  4.3285  3.9442  3.6595  3.6351  4.7253  5.0026
 100  0.718155  3.8019  4.4438  0.0117  4.9423  5.2772  4.8599  4.5792  4.2783  3.8978  3.6156  3.5927  4.6701  4.9433
 101  0.721601  3.8039  4.4308  0.0344  4.8772  5.2131  4.8025  4.5255  4.2280  3.8513  3.5712  3.5499  4.6151  4.8841
 102  0.724940  3.8057  4.4174  0.0570  4.8133  5.1495  4.7452  4.4717  4.1773  3.8043  3.5265  3.5067  4.5600  4.8253
 103  0.728175  3.8074  4.4038  0.0796  4.7512  5.0870  4.6879  4.4174  4.1259  3.7567  3.4816  3.4628  4.5047  4.7668
 104  0.731301  3.8091  4.3897  0.1020  4.6904  5.0252  4.6308  4.3629  4.0741  3.7086  3.4364  3.4185  4.4493  4.7084
 105  0.734324  3.8106  4.3752  0.1244  4.6307  4.9641  4.5740  4.3086  4.0221  3.6603  3.3908  3.3736  4.3940  4.6505
 106  0.737245  3.8121  4.3605  0.1466  4.5717  4.9035  4.5174  4.2544  3.9703  3.6118  3.3450  3.3285  4.3391  4.5931
 107  0.740071  3.8134  4.3454  0.1687  4.5135  4.8434  4.4613  4.2006  3.9187  3.5631  3.2987  3.2829  4.2844  4.5360
 108  0.742804  3.8146  4.3301  0.1906  4.4559  4.7839  4.4057  4.1473  3.8674  3.5145  3.2523  3.2372  4.2302  4.4794
 109  0.745450  3.8158  4.3143  0.2124  4.3990  4.7248  4.3505  4.0942  3.8163  3.4659  3.2054  3.1911  4.1763  4.4234
 110  0.748016  3.8168  4.2984  0.2340  4.3427  4.6663  4.2956  4.0413  3.7654  3.4171  3.1583  3.1447  4.1228  4.3677
 111  0.750506  3.8178  4.2820  0.2556  4.2872  4.6084  4.2411  3.9887  3.7145  3.3682  3.1109  3.0981  4.0694  4.3123
 112  0.751209  3.8180  4.2773  0.2618  4.2713  4.5918  4.2254  3.9736  3.6998  3.3541  3.0972  3.0846  4.0541  4.2965
 113  0.751910  3.8183  4.2724  0.2681  4.2553  4.5751  4.2096  3.9582  3.6849  3.3397  3.0832  3.0708  4.0385  4.2804
 114  0.752611  3.8185  4.2676  0.2743  4.2394  4.5585  4.1939  3.9430  3.6702  3.3255  3.0693  3.0571  4.0231  4.2645
 115  0.753311  3.8187  4.2627  0.2805  4.2234  4.5418  4.1781  3.9277  3.6553  3.3110  3.0553  3.0433  4.0076  4.2485
 116  0.754009  3.8190  4.2577  0.2869  4.2071  4.5247  4.1619  3.9120  3.6401  3.2963  3.0410  3.0291  3.9917  4.2321
 117  0.754702  3.8192  4.2527  0.2932  4.1910  4.5079  4.1460  3.8966  3.6251  3.2818  3.0269  3.0151  3.9761  4.2160
 118  0.755386  3.8195  4.2477  0.2997  4.1743  4.4904  4.1295  3.8806  3.6097  3.2670  3.0125  3.0010  3.9600  4.1993
 119  0.756064  3.8199  4.2429  0.3064  4.1569  4.4722  4.1124  3.8642  3.5939  3.2520  2.9982  2.9870  3.9433  4.1819
 120  0.756738  3.8202  4.2380  0.3131  4.1397  4.4541  4.0955  3.8479  3.5783  3.2372  2.9839  2.9729  3.9268  4.1647
 121  0.757411  3.8206  4.2333  0.3199  4.1219  4.4354  4.0781  3.8314  3.5624  3.2224  2.9699  2.9591  3.9099  4.1470
 122  0.758080  3.8210  4.2286  0.3267  4.1042  4.4168  4.0608  3.8149  3.5466  3.2075  2.9558  2.9452  3.8931  4.1294
 123  0.758747  3.8215  4.2239  0.3335  4.0863  4.3980  4.0433  3.7982  3.5307  3.1925  2.9418  2.9313  3.8761  4.1115
 124  0.759409  3.8219  4.2190  0.3405  4.0683  4.3790  4.0256  3.7813  3.5145  3.1773  2.9274  2.9171  3.8589  4.0936
 125  0.760069  3.8223  4.2139  0.3474  4.0503  4.3601  4.0078  3.7641  3.4980  3.1617  2.9124  2.9023  3.8415  4.0755
 126  0.760723  3.8226  4.2083  0.3545  4.0323  4.3412  3.9898  3.7467  3.4811  3.1454  2.8966  2.8868  3.8238  4.0573
 127  0.761371  3.8228  4.2024  0.3617  4.0143  4.3222  3.9716  3.7289  3.4637  3.1286  2.8802  2.8705  3.8059  4.0389
 128  0.762011  3.8229  4.1962  0.3689  3.9962  4.3032  3.9532  3.7109  3.4460  3.1111  2.8632  2.8535  3.7877  4.0203
 129  0.762647  3.8231  4.1896  0.3763  3.9779  4.2840  3.9346  3.6926  3.4280  3.0934  2.8455  2.8360  3.7693  4.0016
 130  0.763275  3.8232  4.1829  0.3837  3.9595  4.2647  3.9158  3.6740  3.4097  3.0753  2.8277  2.8182  3.7506  3.9827
 131  0.763900  3.8232  4.1761  0.3912  3.9410  4.2453  3.8969  3.6553  3.3912  3.0569  2.8095  2.8002  3.7318  3.9636
 132  0.764519  3.8233  4.1691  0.3987  3.9224  4.2259  3.8779  3.6365  3.3725  3.0383  2.7909  2.7817  3.7129  3.9445
 133  0.765133  3.8233  4.1619  0.4064  3.9037  4.2063  3.8587  3.6174  3.3535  3.0193  2.7720  2.7628  3.6937  3.9253
 134  0.765741  3.8233  4.1545  0.4141  3.8849  4.1866  3.8393  3.5981  3.3343  3.0001  2.7528  2.7436  3.6744  3.9058
 135  0.766343  3.8233  4.1471  0.4218  3.8660  4.1668  3.8197  3.5786  3.3149  2.9805  2.7332  2.7241  3.6548  3.8862
 136  0.766937  3.8232  4.1393  0.4297  3.8470  4.1470  3.8000  3.5588  3.2951  2.9606  2.7130  2.7040  3.6351  3.8665
 137  0.767525  3.8230  4.1310  0.4376  3.8281  4.1272  3.7801  3.5389  3.2750  2.9400  2.6922  2.6831  3.6151  3.8467
 138  0.768104  3.8228  4.1225  0.4456  3.8090  4.1074  3.7601  3.5186  3.2545  2.9190  2.6708  2.6617  3.5949  3.8267
 139  0.768676  3.8226  4.1137  0.4536  3.7899  4.0875  3.7399  3.4982  3.2338  2.8976  2.6489  2.6399  3.5745  3.8066
 140  0.769239  3.8223  4.1048  0.4618  3.7708  4.0676  3.7195  3.4775  3.2127  2.8758  2.6265  2.6174  3.5540  3.7864
 141  0.769795  3.8219  4.0955  0.4700  3.7516  4.0476  3.6991  3.4566  3.1913  2.8535  2.6036  2.5944  3.5332  3.7661
 142  0.770341  3.8215  4.0859  0.4782  3.7323  4.0277  3.6784  3.4354  3.1696  2.8308  2.5801  2.5708  3.5122  3.7457
 143  0.770878  3.8211  4.0760  0.4866  3.7131  4.0078  3.6576  3.4140  3.1475  2.8075  2.5559  2.5466  3.4910  3.7251
 144  0.771404  3.8205  4.0657  0.4950  3.6938  3.9879  3.6367  3.3923  3.1250  2.7838  2.5311  2.5216  3.4695  3.7045
 145  0.771921  3.8199  4.0550  0.5035  3.6747  3.9682  3.6156  3.3703  3.1021  2.7594  2.5056  2.4959  3.4478  3.6837
 146  0.772426  3.8192  4.0439  0.5121  3.6555  3.9485  3.5943  3.3479  3.0787  2.7344  2.4795  2.4694  3.4258  3.6629
 147  0.772919  3.8184  4.0325  0.5207  3.6366  3.9291  3.5727  3.3250  3.0546  2.7087  2.4526  2.4421  3.4034  3.6418
 148  0.773401  3.8176  4.0205  0.5294  3.6177  3.9099  3.5510  3.3017  3.0299  2.6822  2.4249  2.4137  3.3807  3.6207
 149  0.773870  3.8166  4.0082  0.5382  3.5991  3.8910  3.5291  3.2781  3.0047  2.6550  2.3965  2.3845  3.3577  3.5995
 150  0.774326  3.8155  3.9953  0.5470  3.5807  3.8723  3.5071  3.2541  2.9789  2.6271  2.3671  2.3543  3.3345  3.5782
 151  0.774768  3.8143  3.9819  0.5559  3.5625  3.8540  3.4850  3.2298  2.9526  2.5984  2.3367  2.3230  3.3110  3.5570
 152  0.775197  3.8130  3.9679  0.5648  3.5446  3.8359  3.4628  3.2054  2.9260  2.5690  2.3054  2.2908  3.2874  3.5358
 153  0.775611  3.8115  3.9534  0.5737  3.5271  3.8179  3.4410  3.1813  2.8996  2.5393  2.2732  2.2578  3.2642  3.5150
 154  0.776013  3.8100  3.9383  0.5827  3.5099  3.8001  3.4194  3.1572  2.8732  2.5091  2.2400  2.2241  3.2410  3.4943
 155  0.776398  3.8082  3.9226  0.5918  3.4931  3.7826  3.3980  3.1331  2.8466  2.4783  2.2058  2.1893  3.2178  3.4739
 156  0.776769  3.8064  3.9064  0.6008  3.4768  3.7655  3.3767  3.1092  2.8198  2.4468  2.1707  2.1536  3.1946  3.4539
 157  0.777126  3.8044  3.8896  0.6099  3.4610  3.7489  3.3555  3.0849  2.7926  2.4146  2.1345  2.1169  3.1713  3.4339
 158  0.777469  3.8023  3.8722  0.6189  3.4458  3.7329  3.3344  3.0605  2.7649  2.3818  2.0974  2.0790  3.1480  3.4142
 159  0.777797  3.8000  3.8542  0.6280  3.4314  3.7175  3.3134  3.0360  2.7370  2.3482  2.0593  2.0401  3.1247  3.3947
 160  0.778111  3.7976  3.8357  0.6371  3.4176  3.7026  3.2926  3.0115  2.7088  2.3140  2.0203  2.0002  3.1013  3.3754
 161  0.778413  3.7950  3.8166  0.6460  3.4047  3.6883  3.2720  2.9870  2.6805  2.2792  1.9805  1.9594  3.0780  3.3565
 162  0.778641  3.7929  3.8010  0.6532  3.3959  3.6781  3.2561  2.9677  2.6577  2.2510  1.9483  1.9262  3.0599  3.3420
 163  0.778865  3.7904  3.7840  0.6603  3.3888  3.6694  3.2400  2.9473  2.6335  2.2208  1.9136  1.8901  3.0410  3.3279
 164  0.779085  3.7876  3.7655  0.6676  3.3839  3.6622  3.2240  2.9262  2.6076  2.1884  1.8765  1.8512  3.0216  3.3141
 165  0.779304  3.7847  3.7467  0.6749  3.3794  3.6549  3.2078  2.9048  2.5816  2.1555  1.8389  1.8116  3.0019  3.3001
 166  0.779518  3.7817  3.7276  0.6824  3.3743  3.6468  3.1916  2.8839  2.5560  2.1229  1.8009  1.7721  2.9824  3.2860
 167  0.779732  3.7789  3.7087  0.6901  3.3691  3.6380  3.1750  2.8628  2.5306  2.0905  1.7633  1.7331  2.9628  3.2714
 168  0.779941  3.7757  3.6883  0.6978  3.3673  3.6316  3.1588  2.8409  2.5036  2.0560  1.7236  1.6915  2.9427  3.2576
 169  0.780145  3.7722  3.6669  0.7055  3.3680  3.6266  3.1428  2.8187  2.4756  2.0199  1.6818  1.6475  2.9224  3.2445
 170  0.780346  3.7688  3.6454  0.7135  3.3681  3.6208  3.1264  2.7965  2.4478  1.9839  1.6400  1.6036  2.9020  3.2308
 171  0.780545  3.7658  3.6252  0.7217  3.3655  3.6127  3.1091  2.7742  2.4207  1.9492  1.5999  1.5617  2.8812  3.2158
 172  0.780742  3.7631  3.6062  0.7303  3.3606  3.6023  3.0906  2.7512  2.3937  1.9154  1.5612  1.5215  2.8596  3.1994
 173  0.780934  3.7607  3.5876  0.7391  3.3543  3.5906  3.0713  2.7279  2.3665  1.8819  1.5231  1.4821  2.8374  3.1821
 174  0.781118  3.7584  3.5693  0.7483  3.3465  3.5776  3.0511  2.7039  2.3389  1.8484  1.4853  1.4430  2.8145  3.1637
 175  0.781296  3.7563  3.5513  0.7578  3.3375  3.5632  3.0299  2.6792  2.3108  1.8147  1.4477  1.4040  2.7908  3.1443
 176  0.781465  3.7543  3.5336  0.7676  3.3268  3.5474  3.0079  2.6538  2.2824  1.7812  1.4103  1.3655  2.7665  3.1239
 177  0.781627  3.7525  3.5164  0.7778  3.3143  3.5301  2.9849  2.6280  2.2537  1.7478  1.3735  1.3277  2.7414  3.1024
 178  0.781781  3.7509  3.4997  0.7882  3.3005  3.5118  2.9613  2.6016  2.2247  1.7146  1.3373  1.2905  2.7158  3.0800
 179  0.781931  3.7494  3.4834  0.7987  3.2854  3.4922  2.9369  2.5746  2.1954  1.6815  1.3016  1.2539  2.6895  3.0568
 180  0.782074  3.7481  3.4673  0.8094  3.2698  3.4722  2.9120  2.5474  2.1660  1.6486  1.2663  1.2177  2.6631  3.0332
 181  0.782212  3.7468  3.4518  0.8202  3.2533  3.4514  2.8867  2.5197  2.1360  1.6158  1.2318  1.1824  2.6360  3.0089
 182  0.782368  3.7456  3.4343  0.8327  3.2333  3.4269  2.8573  2.4878  2.1019  1.5786  1.1928  1.1424  2.6048  2.9807
 183  0.782523  3.7444  3.4169  0.8456  3.2117  3.4010  2.8270  2.4552  2.0672  1.5412  1.1538  1.1025  2.5729  2.9514
 184  0.782674  3.7434  3.3998  0.8586  3.1888  3.3738  2.7959  2.4220  2.0321  1.5036  1.1146  1.0626  2.5403  2.9213
 185  0.782826  3.7424  3.3828  0.8719  3.1642  3.3455  2.7640  2.3882  1.9967  1.4659  1.0755  1.0228  2.5071  2.8902
 186  0.782976  3.7415  3.3658  0.8854  3.1388  3.3167  2.7318  2.3543  1.9612  1.4281  1.0362  0.9829  2.4736  2.8588
 187  0.783124  3.7407  3.3489  0.8990  3.1123  3.2869  2.6990  2.3200  1.9254  1.3902  0.9969  0.9432  2.4396  2.8267
 188  0.783273  3.7399  3.3322  0.9128  3.0849  3.2564  2.6658  2.2854  1.8895  1.3523  0.9577  0.9035  2.4055  2.7942
 189  0.783420  3.7392  3.3156  0.9267  3.0567  3.2253  2.6323  2.2507  1.8536  1.3146  0.9184  0.8638  2.3711  2.7613
 190  0.783567  3.7385  3.2990  0.9406  3.0278  3.1937  2.5985  2.2157  1.8176  1.2767  0.8791  0.8243  2.3365  2.7280
 191  0.783714  3.7379  3.2825  0.9546  2.9982  3.1617  2.5644  2.1806  1.7816  1.2388  0.8399  0.7848  2.3016  2.6944
 192  0.783860  3.7373  3.2662  0.9688  2.9683  3.1294  2.5301  2.1453  1.7454  1.2009  0.8008  0.7453  2.2666  2.6606
 193  0.784005  3.7368  3.2498  0.9830  2.9380  3.0967  2.4956  2.1100  1.7091  1.1631  0.7616  0.7058  2.2314  2.6265
 194  0.784151  3.7362  3.2336  0.9971  2.9074  3.0638  2.4610  2.0745  1.6728  1.1252  0.7224  0.6666  2.1962  2.5924
 195  0.784297  3.7357  3.2173  1.0114  2.8766  3.0308  2.4265  2.0391  1.6366  1.0875  0.6835  0.6275  2.1610  2.5581
 196  0.784442  3.7352  3.2013  1.0256  2.8454  2.9975  2.3917  2.0036  1.6004  1.0498  0.6446  0.5884  2.1257  2.5238
