NUMBER OF AGES= 1 MAGS=10
----------------------------------------------------       
MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
 1.9380  0.2452 1.3168E-04 1.7223E-04  -2.00  -0.20 
----------------------------------------------------       
**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
----------------------------------------------------       
AGE= 2.000 EEPS=274
#EEP,   M,    LogTeff,  LogG,   LogL, U,       B,       V,       R,       I,       J,       H,       Ks,      Kp,      D51
  73  1.071495  3.9059  4.5040  0.5409  3.4565  3.6606  3.4961  3.3803  3.2500  3.1066  3.0126  3.0213  3.4072  3.5159
  74  1.077133  3.9085  4.5036  0.5542  3.4220  3.6212  3.4625  3.3511  3.2254  3.0879  2.9983  3.0074  3.3760  3.4808
  75  1.082694  3.9112  4.5031  0.5674  3.3875  3.5822  3.4293  3.3221  3.2011  3.0693  2.9841  2.9937  3.3451  3.4462
  76  1.088192  3.9138  4.5026  0.5805  3.3530  3.5437  3.3967  3.2935  3.1772  3.0508  2.9700  2.9800  3.3147  3.4120
  77  1.093656  3.9163  4.5020  0.5935  3.3184  3.5055  3.3643  3.2652  3.1533  3.0325  2.9559  2.9665  3.2845  3.3782
  78  1.099100  3.9189  4.5013  0.6065  3.2834  3.4675  3.3323  3.2371  3.1296  3.0142  2.9416  2.9528  3.2545  3.3450
  79  1.104533  3.9214  4.5006  0.6196  3.2486  3.4300  3.3007  3.2094  3.1062  2.9963  2.9274  2.9391  3.2251  3.3120
  80  1.109954  3.9240  4.4999  0.6325  3.2144  3.3928  3.2697  3.1822  3.0834  2.9785  2.9132  2.9255  3.1960  3.2796
  81  1.115326  3.9265  4.4991  0.6455  3.1814  3.3565  3.2394  3.1558  3.0611  2.9611  2.8995  2.9120  3.1676  3.2479
  82  1.122960  3.9301  4.4979  0.6640  3.1366  3.3060  3.1973  3.1196  3.0307  2.9371  2.8802  2.8929  3.1283  3.2035
  83  1.130423  3.9336  4.4966  0.6822  3.0942  3.2579  3.1575  3.0854  3.0019  2.9143  2.8616  2.8742  3.0911  3.1614
  84  1.137669  3.9369  4.4952  0.7001  3.0530  3.2120  3.1197  3.0528  2.9743  2.8922  2.8433  2.8559  3.0556  3.1215
  85  1.144679  3.9402  4.4938  0.7173  3.0131  3.1683  3.0837  3.0217  2.9478  2.8708  2.8255  2.8381  3.0217  3.0835
  86  1.151428  3.9434  4.4923  0.7340  2.9743  3.1269  3.0493  2.9918  2.9221  2.8502  2.8079  2.8207  2.9892  3.0473
  87  1.157929  3.9464  4.4908  0.7501  2.9365  3.0875  3.0164  2.9629  2.8973  2.8300  2.7906  2.8037  2.9581  3.0127
  88  1.164210  3.9494  4.4892  0.7658  2.8998  3.0498  2.9847  2.9351  2.8732  2.8104  2.7737  2.7871  2.9281  2.9796
  89  1.170303  3.9522  4.4875  0.7811  2.8637  3.0137  2.9542  2.9081  2.8498  2.7913  2.7571  2.7707  2.8991  2.9478
  90  1.176231  3.9550  4.4857  0.7961  2.8282  2.9787  2.9245  2.8816  2.8268  2.7723  2.7405  2.7546  2.8708  2.9169
  91  1.182017  3.9577  4.4839  0.8108  2.7929  2.9448  2.8955  2.8557  2.8040  2.7535  2.7240  2.7384  2.8432  2.8868
  92  1.187677  3.9603  4.4820  0.8252  2.7581  2.9117  2.8673  2.8301  2.7817  2.7350  2.7076  2.7224  2.8161  2.8575
  93  1.193221  3.9629  4.4801  0.8395  2.7236  2.8794  2.8395  2.8050  2.7595  2.7166  2.6912  2.7064  2.7895  2.8290
  94  1.198671  3.9655  4.4780  0.8536  2.6894  2.8479  2.8123  2.7802  2.7376  2.6983  2.6749  2.6905  2.7634  2.8009
  95  1.204043  3.9680  4.4760  0.8677  2.6556  2.8170  2.7857  2.7559  2.7159  2.6801  2.6585  2.6745  2.7377  2.7734
  96  1.209333  3.9703  4.4738  0.8815  2.6222  2.7867  2.7594  2.7318  2.6944  2.6620  2.6420  2.6586  2.7124  2.7464
  97  1.214528  3.9727  4.4715  0.8952  2.5891  2.7571  2.7336  2.7081  2.6732  2.6441  2.6257  2.6427  2.6875  2.7200
  98  1.219623  3.9750  4.4691  0.9087  2.5564  2.7281  2.7083  2.6848  2.6521  2.6262  2.6093  2.6266  2.6630  2.6941
  99  1.224609  3.9773  4.4666  0.9219  2.5245  2.6998  2.6836  2.6619  2.6314  2.6084  2.5930  2.6107  2.6390  2.6688
 100  1.229481  3.9795  4.4640  0.9350  2.4931  2.6722  2.6595  2.6395  2.6109  2.5909  2.5767  2.5949  2.6156  2.6442
 101  1.234239  3.9816  4.4613  0.9477  2.4623  2.6455  2.6359  2.6174  2.5909  2.5734  2.5606  2.5792  2.5926  2.6202
 102  1.238880  3.9836  4.4586  0.9601  2.4323  2.6195  2.6130  2.5959  2.5710  2.5563  2.5445  2.5636  2.5703  2.5967
 103  1.243400  3.9856  4.4558  0.9722  2.4031  2.5942  2.5905  2.5748  2.5517  2.5393  2.5286  2.5480  2.5484  2.5739
 104  1.247802  3.9874  4.4529  0.9841  2.3745  2.5696  2.5688  2.5542  2.5327  2.5226  2.5128  2.5327  2.5270  2.5516
 105  1.252087  3.9892  4.4499  0.9957  2.3468  2.5457  2.5474  2.5341  2.5138  2.5060  2.4972  2.5173  2.5062  2.5300
 106  1.256256  3.9909  4.4468  1.0068  2.3197  2.5225  2.5266  2.5142  2.4954  2.4896  2.4816  2.5021  2.4856  2.5089
 107  1.260310  3.9924  4.4436  1.0179  2.2932  2.4998  2.5062  2.4948  2.4772  2.4734  2.4660  2.4870  2.4656  2.4881
 108  1.264249  3.9939  4.4403  1.0285  2.2673  2.4775  2.4860  2.4756  2.4590  2.4572  2.4505  2.4718  2.4459  2.4677
 109  1.268063  3.9953  4.4368  1.0390  2.2419  2.4557  2.4662  2.4566  2.4411  2.4410  2.4349  2.4566  2.4264  2.4477
 110  1.271742  3.9967  4.4335  1.0493  2.2170  2.4343  2.4469  2.4381  2.4236  2.4253  2.4197  2.4419  2.4073  2.4281
 111  1.275292  3.9982  4.4303  1.0594  2.1927  2.4136  2.4283  2.4202  2.4068  2.4100  2.4051  2.4276  2.3889  2.4092
 112  1.277064  3.9989  4.4287  1.0645  2.1804  2.4032  2.4187  2.4112  2.3981  2.4023  2.3977  2.4203  2.3796  2.3996
 113  1.278840  3.9996  4.4269  1.0696  2.1680  2.3927  2.4091  2.4020  2.3894  2.3944  2.3901  2.4129  2.3701  2.3899
 114  1.280620  4.0003  4.4251  1.0750  2.1554  2.3818  2.3994  2.3925  2.3804  2.3863  2.3821  2.4052  2.3603  2.3800
 115  1.282405  4.0010  4.4232  1.0803  2.1426  2.3709  2.3894  2.3829  2.3713  2.3780  2.3741  2.3974  2.3505  2.3699
 116  1.284195  4.0017  4.4212  1.0856  2.1295  2.3597  2.3792  2.3731  2.3619  2.3695  2.3658  2.3892  2.3405  2.3596
 117  1.285990  4.0024  4.4192  1.0911  2.1163  2.3484  2.3688  2.3631  2.3524  2.3608  2.3574  2.3810  2.3303  2.3492
 118  1.287789  4.0031  4.4169  1.0966  2.1030  2.3369  2.3583  2.3529  2.3425  2.3518  2.3487  2.3724  2.3198  2.3385
 119  1.289591  4.0037  4.4146  1.1022  2.0895  2.3252  2.3476  2.3424  2.3326  2.3426  2.3398  2.3637  2.3092  2.3276
 120  1.291399  4.0044  4.4123  1.1078  2.0757  2.3134  2.3367  2.3319  2.3225  2.3333  2.3307  2.3548  2.2983  2.3166
 121  1.293209  4.0051  4.4098  1.1135  2.0618  2.3014  2.3256  2.3211  2.3121  2.3237  2.3213  2.3456  2.2873  2.3054
 122  1.295022  4.0057  4.4073  1.1193  2.0478  2.2891  2.3142  2.3102  2.3016  2.3139  2.3117  2.3363  2.2762  2.2941
 123  1.296837  4.0064  4.4046  1.1251  2.0336  2.2767  2.3028  2.2990  2.2908  2.3039  2.3019  2.3267  2.2648  2.2826
 124  1.298652  4.0070  4.4018  1.1310  2.0192  2.2642  2.2911  2.2876  2.2797  2.2937  2.2919  2.3167  2.2532  2.2707
 125  1.300465  4.0076  4.3990  1.1371  2.0046  2.2515  2.2792  2.2760  2.2685  2.2831  2.2816  2.3067  2.2413  2.2588
 126  1.302265  4.0082  4.3960  1.1431  1.9901  2.2385  2.2672  2.2642  2.2572  2.2725  2.2712  2.2964  2.2294  2.2467
 127  1.304052  4.0088  4.3929  1.1491  1.9754  2.2256  2.2549  2.2523  2.2456  2.2616  2.2605  2.2859  2.2173  2.2344
 128  1.305826  4.0094  4.3898  1.1551  1.9605  2.2125  2.2427  2.2403  2.2339  2.2506  2.2497  2.2753  2.2051  2.2221
 129  1.307590  4.0099  4.3865  1.1612  1.9456  2.1992  2.2302  2.2281  2.2221  2.2394  2.2386  2.2644  2.1927  2.2094
 130  1.309346  4.0105  4.3831  1.1673  1.9306  2.1858  2.2175  2.2155  2.2099  2.2279  2.2272  2.2532  2.1800  2.1967
 131  1.311091  4.0110  4.3795  1.1735  1.9155  2.1721  2.2046  2.2029  2.1975  2.2162  2.2157  2.2418  2.1672  2.1837
 132  1.312830  4.0115  4.3759  1.1797  1.9001  2.1584  2.1914  2.1901  2.1850  2.2041  2.2038  2.2301  2.1542  2.1706
 133  1.314557  4.0119  4.3720  1.1859  1.8847  2.1443  2.1780  2.1769  2.1720  2.1917  2.1916  2.2180  2.1408  2.1571
 134  1.316271  4.0123  4.3679  1.1922  1.8690  2.1299  2.1642  2.1632  2.1587  2.1788  2.1788  2.2053  2.1271  2.1432
 135  1.317972  4.0127  4.3635  1.1986  1.8530  2.1151  2.1500  2.1491  2.1449  2.1654  2.1655  2.1922  2.1128  2.1289
 136  1.319669  4.0130  4.3590  1.2051  1.8370  2.1002  2.1356  2.1349  2.1308  2.1518  2.1519  2.1788  2.0985  2.1145
 137  1.321362  4.0134  4.3543  1.2116  1.8209  2.0851  2.1209  2.1204  2.1165  2.1380  2.1381  2.1652  2.0839  2.0999
 138  1.323047  4.0136  4.3495  1.2181  1.8046  2.0698  2.1060  2.1057  2.1020  2.1237  2.1240  2.1511  2.0691  2.0850
 139  1.324723  4.0139  4.3446  1.2247  1.7880  2.0541  2.0909  2.0907  2.0871  2.1091  2.1096  2.1367  2.0540  2.0697
 140  1.326389  4.0141  4.3393  1.2313  1.7714  2.0382  2.0754  2.0753  2.0719  2.0942  2.0946  2.1219  2.0384  2.0542
 141  1.328043  4.0143  4.3339  1.2379  1.7546  2.0221  2.0596  2.0595  2.0564  2.0789  2.0794  2.1068  2.0227  2.0384
 142  1.329685  4.0144  4.3283  1.2446  1.7376  2.0057  2.0433  2.0434  2.0403  2.0631  2.0636  2.0911  2.0066  2.0222
 143  1.331313  4.0145  4.3224  1.2514  1.7203  1.9888  2.0269  2.0270  2.0240  2.0469  2.0473  2.0750  1.9901  2.0057
 144  1.332926  4.0145  4.3163  1.2581  1.7029  1.9718  2.0100  2.0102  2.0072  2.0301  2.0306  2.0584  1.9733  1.9888
 145  1.334519  4.0146  4.3099  1.2650  1.6853  1.9544  1.9928  1.9930  1.9901  2.0130  2.0134  2.0412  1.9559  1.9716
 146  1.336094  4.0145  4.3033  1.2719  1.6676  1.9366  1.9751  1.9753  1.9724  1.9953  1.9957  2.0235  1.9383  1.9539
 147  1.337648  4.0144  4.2963  1.2788  1.6496  1.9185  1.9569  1.9572  1.9542  1.9770  1.9773  2.0052  1.9202  1.9359
 148  1.339177  4.0142  4.2890  1.2858  1.6315  1.8999  1.9384  1.9386  1.9356  1.9582  1.9584  1.9863  1.9017  1.9174
 149  1.340681  4.0139  4.2813  1.2928  1.6132  1.8811  1.9195  1.9196  1.9164  1.9388  1.9388  1.9668  1.8827  1.8984
 150  1.342159  4.0135  4.2733  1.2998  1.5947  1.8618  1.9000  1.9000  1.8967  1.9186  1.9185  1.9465  1.8631  1.8789
 151  1.343606  4.0131  4.2649  1.3068  1.5759  1.8421  1.8800  1.8798  1.8765  1.8979  1.8976  1.9255  1.8431  1.8590
 152  1.345025  4.0125  4.2561  1.3138  1.5571  1.8220  1.8594  1.8591  1.8556  1.8764  1.8759  1.9038  1.8225  1.8386
 153  1.346409  4.0118  4.2469  1.3209  1.5382  1.8013  1.8384  1.8379  1.8339  1.8542  1.8534  1.8812  1.8014  1.8177
 154  1.347757  4.0111  4.2372  1.3279  1.5190  1.7803  1.8167  1.8160  1.8117  1.8311  1.8301  1.8578  1.7797  1.7960
 155  1.349072  4.0102  4.2270  1.3350  1.4998  1.7588  1.7945  1.7935  1.7888  1.8073  1.8058  1.8334  1.7574  1.7739
 156  1.350346  4.0091  4.2162  1.3421  1.4803  1.7367  1.7716  1.7703  1.7651  1.7824  1.7806  1.8081  1.7343  1.7512
 157  1.351581  4.0080  4.2049  1.3491  1.4609  1.7142  1.7481  1.7463  1.7407  1.7567  1.7544  1.7817  1.7107  1.7278
 158  1.352772  4.0067  4.1931  1.3561  1.4414  1.6913  1.7240  1.7217  1.7154  1.7300  1.7273  1.7543  1.6864  1.7038
 159  1.353921  4.0052  4.1805  1.3630  1.4219  1.6678  1.6991  1.6963  1.6893  1.7023  1.6990  1.7258  1.6614  1.6792
 160  1.355024  4.0035  4.1674  1.3699  1.4024  1.6438  1.6736  1.6702  1.6623  1.6734  1.6695  1.6961  1.6357  1.6539
 161  1.356079  4.0017  4.1535  1.3767  1.3829  1.6192  1.6474  1.6433  1.6345  1.6435  1.6389  1.6651  1.6093  1.6280
 162  1.356813  4.0002  4.1430  1.3815  1.3690  1.6014  1.6282  1.6236  1.6140  1.6213  1.6161  1.6421  1.5900  1.6089
 163  1.357539  3.9986  4.1319  1.3865  1.3545  1.5828  1.6081  1.6027  1.5924  1.5978  1.5920  1.6176  1.5695  1.5890
 164  1.358259  3.9968  4.1200  1.3915  1.3398  1.5633  1.5869  1.5809  1.5695  1.5729  1.5663  1.5917  1.5481  1.5681
 165  1.358971  3.9949  4.1073  1.3966  1.3247  1.5430  1.5647  1.5579  1.5454  1.5464  1.5391  1.5640  1.5257  1.5462
 166  1.359672  3.9927  4.0937  1.4019  1.3094  1.5219  1.5415  1.5337  1.5198  1.5184  1.5101  1.5346  1.5020  1.5233
 167  1.360363  3.9903  4.0789  1.4071  1.2937  1.4999  1.5171  1.5082  1.4929  1.4886  1.4792  1.5033  1.4773  1.4993
 168  1.361040  3.9875  4.0630  1.4125  1.2777  1.4769  1.4914  1.4812  1.4642  1.4566  1.4461  1.4696  1.4510  1.4739
 169  1.361703  3.9846  4.0461  1.4178  1.2617  1.4532  1.4647  1.4531  1.4342  1.4230  1.4110  1.4341  1.4238  1.4477
 170  1.362349  3.9813  4.0277  1.4233  1.2457  1.4287  1.4366  1.4234  1.4022  1.3870  1.3733  1.3958  1.3951  1.4202
 171  1.362975  3.9777  4.0080  1.4287  1.2298  1.4035  1.4074  1.3923  1.3684  1.3486  1.3331  1.3549  1.3651  1.3915
 172  1.363581  3.9737  3.9865  1.4342  1.2143  1.3778  1.3769  1.3595  1.3327  1.3076  1.2898  1.3109  1.3337  1.3619
 173  1.364161  3.9693  3.9640  1.4396  1.1993  1.3522  1.3460  1.3260  1.2957  1.2648  1.2445  1.2648  1.3017  1.3319
 174  1.364716  3.9646  3.9396  1.4449  1.1850  1.3265  1.3144  1.2911  1.2569  1.2193  1.1962  1.2156  1.2688  1.3012
 175  1.365243  3.9593  3.9135  1.4502  1.1711  1.3013  1.2824  1.2554  1.2163  1.1714  1.1447  1.1631  1.2351  1.2705
 176  1.365741  3.9538  3.8864  1.4553  1.1577  1.2771  1.2511  1.2198  1.1753  1.1222  1.0916  1.1089  1.2018  1.2405
 177  1.366210  3.9477  3.8576  1.4602  1.1447  1.2542  1.2202  1.1837  1.1327  1.0706  1.0352  1.0515  1.1685  1.2114
 178  1.366649  3.9413  3.8273  1.4649  1.1326  1.2334  1.1906  1.1479  1.0892  1.0172  0.9762  0.9914  1.1358  1.1839
 179  1.367059  3.9347  3.7964  1.4695  1.1216  1.2155  1.1629  1.1132  1.0462  0.9636  0.9162  0.9305  1.1045  1.1584
 180  1.367442  3.9275  3.7637  1.4736  1.1126  1.2019  1.1370  1.0789  1.0023  0.9079  0.8529  0.8663  1.0746  1.1356
 181  1.367799  3.9203  3.7310  1.4777  1.1099  1.1982  1.1162  1.0482  0.9613  0.8537  0.7905  0.8026  1.0493  1.1184
 182  1.368069  3.9143  3.7039  1.4807  1.1119  1.2029  1.1039  1.0261  0.9298  0.8098  0.7388  0.7502  1.0325  1.1096
 183  1.368335  3.9076  3.6745  1.4835  1.1138  1.2104  1.0929  1.0039  0.8964  0.7628  0.6826  0.6932  1.0161  1.1029
 184  1.368590  3.9011  3.6459  1.4864  1.1143  1.2165  1.0830  0.9834  0.8652  0.7181  0.6283  0.6380  1.0009  1.0968
 185  1.368839  3.8938  3.6139  1.4888  1.1184  1.2271  1.0754  0.9636  0.8327  0.6696  0.5680  0.5765  0.9869  1.0937
 186  1.369080  3.8865  3.5822  1.4913  1.1227  1.2387  1.0695  0.9456  0.8018  0.6225  0.5084  0.5155  0.9744  1.0921
 187  1.369313  3.8790  3.5502  1.4938  1.1276  1.2517  1.0652  0.9291  0.7723  0.5761  0.4489  0.4546  0.9632  1.0922
 188  1.369536  3.8710  3.5160  1.4958  1.1346  1.2686  1.0632  0.9139  0.7430  0.5282  0.3864  0.3903  0.9536  1.0950
