NUMBER OF AGES= 1 MAGS=10
----------------------------------------------------       
MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
 1.9380  0.2452 1.3168E-04 1.7223E-04  -2.00  -0.20 
----------------------------------------------------       
**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
----------------------------------------------------       
AGE= 5.000 EEPS=271
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51
 136  1.016620  3.9192  4.2185  0.8570  2.6636  2.8083  2.6892  2.6038  2.5050  2.3923  2.3238  2.3356  2.6160  2.6983
 137  1.017500  3.9193  4.2125  0.8635  2.6472  2.7912  2.6725  2.5874  2.4889  2.3763  2.3080  2.3197  2.5994  2.6815
 138  1.018373  3.9193  4.2063  0.8701  2.6308  2.7739  2.6557  2.5708  2.4723  2.3597  2.2916  2.3033  2.5827  2.6646
 139  1.019238  3.9192  4.1997  0.8768  2.6143  2.7566  2.6386  2.5539  2.4555  2.3428  2.2745  2.2863  2.5657  2.6474
 140  1.020095  3.9191  4.1928  0.8836  2.5977  2.7392  2.6213  2.5365  2.4382  2.3253  2.2570  2.2687  2.5484  2.6301
 141  1.020944  3.9189  4.1856  0.8904  2.5810  2.7217  2.6038  2.5190  2.4205  2.3073  2.2387  2.2505  2.5308  2.6127
 142  1.021783  3.9186  4.1781  0.8972  2.5643  2.7042  2.5861  2.5011  2.4024  2.2887  2.2198  2.2315  2.5130  2.5950
 143  1.022613  3.9183  4.1701  0.9042  2.5475  2.6867  2.5682  2.4830  2.3838  2.2693  2.2002  2.2117  2.4949  2.5772
 144  1.023430  3.9179  4.1617  0.9112  2.5305  2.6691  2.5501  2.4645  2.3648  2.2495  2.1797  2.1912  2.4766  2.5593
 145  1.024236  3.9173  4.1529  0.9183  2.5137  2.6516  2.5318  2.4457  2.3453  2.2289  2.1585  2.1699  2.4580  2.5412
 146  1.025028  3.9167  4.1435  0.9255  2.4968  2.6341  2.5134  2.4264  2.3253  2.2076  2.1364  2.1477  2.4392  2.5228
 147  1.025807  3.9160  4.1337  0.9327  2.4799  2.6167  2.4948  2.4069  2.3048  2.1855  2.1133  2.1244  2.4201  2.5046
 148  1.026572  3.9151  4.1233  0.9399  2.4630  2.5995  2.4761  2.3871  2.2837  2.1626  2.0892  2.1002  2.4008  2.4862
 149  1.027319  3.9141  4.1123  0.9472  2.4462  2.5824  2.4573  2.3670  2.2621  2.1389  2.0641  2.0750  2.3813  2.4678
 150  1.028049  3.9130  4.1007  0.9545  2.4293  2.5655  2.4383  2.3465  2.2399  2.1143  2.0378  2.0484  2.3615  2.4496
 151  1.028761  3.9116  4.0884  0.9619  2.4126  2.5489  2.4193  2.3257  2.2168  2.0886  2.0101  2.0207  2.3414  2.4312
 152  1.029453  3.9102  4.0754  0.9693  2.3958  2.5325  2.4001  2.3044  2.1932  2.0618  1.9812  1.9916  2.3211  2.4127
 153  1.030125  3.9085  4.0615  0.9767  2.3791  2.5165  2.3809  2.2827  2.1689  2.0339  1.9509  1.9609  2.3006  2.3944
 154  1.030775  3.9066  4.0469  0.9841  2.3625  2.5008  2.3616  2.2606  2.1437  2.0049  1.9189  1.9288  2.2797  2.3760
 155  1.031402  3.9045  4.0314  0.9915  2.3462  2.4857  2.3422  2.2381  2.1179  1.9745  1.8854  1.8950  2.2586  2.3577
 156  1.032005  3.9022  4.0149  0.9990  2.3302  2.4710  2.3228  2.2154  2.0912  1.9431  1.8502  1.8596  2.2374  2.3396
 157  1.032583  3.8996  3.9974  1.0063  2.3147  2.4572  2.3037  2.1923  2.0641  1.9103  1.8134  1.8224  2.2161  2.3218
 158  1.033134  3.8968  3.9791  1.0136  2.2996  2.4444  2.2848  2.1692  2.0363  1.8764  1.7748  1.7833  2.1949  2.3044
 159  1.033659  3.8937  3.9596  1.0207  2.2852  2.4327  2.2663  2.1460  2.0078  1.8411  1.7344  1.7424  2.1737  2.2876
 160  1.034157  3.8903  3.9390  1.0278  2.2715  2.4223  2.2484  2.1228  1.9788  1.8046  1.6921  1.6996  2.1529  2.2716
 161  1.034627  3.8866  3.9174  1.0348  2.2584  2.4133  2.2311  2.0997  1.9495  1.7671  1.6481  1.6548  2.1323  2.2564
 162  1.034948  3.8836  3.9013  1.0397  2.2495  2.4076  2.2192  2.0832  1.9282  1.7394  1.6155  1.6216  2.1178  2.2461
 163  1.035263  3.8805  3.8841  1.0446  2.2409  2.4027  2.2073  2.0664  1.9060  1.7101  1.5806  1.5863  2.1032  2.2360
 164  1.035572  3.8772  3.8657  1.0497  2.2328  2.3988  2.1957  2.0494  1.8832  1.6795  1.5438  1.5487  2.0884  2.2263
 165  1.035874  3.8735  3.8460  1.0547  2.2252  2.3956  2.1843  2.0322  1.8596  1.6473  1.5048  1.5091  2.0735  2.2170
 166  1.036170  3.8694  3.8248  1.0598  2.2181  2.3936  2.1732  2.0146  1.8351  1.6134  1.4632  1.4668  2.0586  2.2082
 167  1.036458  3.8652  3.8030  1.0649  2.2113  2.3924  2.1623  1.9970  1.8104  1.5788  1.4205  1.4233  2.0438  2.1998
 168  1.036739  3.8606  3.7797  1.0700  2.2053  2.3926  2.1519  1.9792  1.7848  1.5424  1.3753  1.3772  2.0290  2.1921
 169  1.037011  3.8557  3.7549  1.0751  2.2002  2.3942  2.1421  1.9613  1.7585  1.5044  1.3277  1.3283  2.0143  2.1852
 170  1.037275  3.8506  3.7296  1.0802  2.1956  2.3967  2.1326  1.9437  1.7322  1.4660  1.2792  1.2788  1.9998  2.1788
 171  1.037533  3.8452  3.7031  1.0852  2.1924  2.4006  2.1237  1.9260  1.7055  1.4263  1.2289  1.2271  1.9856  2.1732
 172  1.037786  3.8397  3.6760  1.0903  2.1903  2.4053  2.1152  1.9083  1.6784  1.3857  1.1771  1.1739  1.9713  2.1681
 173  1.038036  3.8341  3.6489  1.0953  2.1890  2.4109  2.1068  1.8906  1.6513  1.3451  1.1253  1.1204  1.9571  2.1632
 174  1.038281  3.8285  3.6212  1.1004  2.1889  2.4169  2.0986  1.8732  1.6245  1.3044  1.0730  1.0665  1.9431  2.1587
 175  1.038530  3.8229  3.5937  1.1055  2.1893  2.4225  2.0905  1.8560  1.5981  1.2645  1.0217  1.0135  1.9291  2.1541
 176  1.038781  3.8173  3.5663  1.1106  2.1909  2.4285  2.0823  1.8386  1.5716  1.2245  0.9707  0.9607  1.9150  2.1496
 177  1.039030  3.8116  3.5386  1.1157  2.1942  2.4356  2.0746  1.8215  1.5451  1.1841  0.9189  0.9068  1.9012  2.1456
 178  1.039280  3.8057  3.5106  1.1204  2.1997  2.4436  2.0680  1.8054  1.5198  1.1441  0.8668  0.8528  1.8884  2.1429
 179  1.039532  3.7997  3.4822  1.1250  2.2079  2.4540  2.0627  1.7902  1.4947  1.1039  0.8142  0.7980  1.8765  2.1417
 180  1.039787  3.7937  3.4536  1.1293  2.2186  2.4657  2.0583  1.7758  1.4706  1.0643  0.7618  0.7433  1.8653  2.1415
 181  1.040049  3.7874  3.4251  1.1331  2.2368  2.4829  2.0543  1.7598  1.4436  1.0228  0.7100  0.6871  1.8536  2.1427
 182  1.040306  3.7815  3.3983  1.1361  2.2563  2.5000  2.0527  1.7475  1.4214  0.9865  0.6632  0.6366  1.8448  2.1458
 183  1.040565  3.7757  3.3729  1.1384  2.2772  2.5169  2.0534  1.7387  1.4035  0.9541  0.6194  0.5902  1.8389  2.1507
 184  1.040827  3.7702  3.3490  1.1404  2.3001  2.5348  2.0549  1.7310  1.3871  0.9237  0.5782  0.5461  1.8340  2.1564
 185  1.041092  3.7650  3.3261  1.1428  2.3230  2.5510  2.0555  1.7228  1.3706  0.8938  0.5382  0.5034  1.8285  2.1610
 186  1.041354  3.7605  3.3048  1.1462  2.3428  2.5631  2.0526  1.7119  1.3523  0.8642  0.5006  0.4628  1.8201  2.1619
 187  1.041614  3.7568  3.2843  1.1521  2.3530  2.5657  2.0422  1.6948  1.3288  0.8321  0.4625  0.4222  1.8051  2.1548
 188  1.041859  3.7535  3.2644  1.1590  2.3589  2.5643  2.0294  1.6760  1.3046  0.7996  0.4244  0.3817  1.7880  2.1448
 189  1.042091  3.7512  3.2453  1.1684  2.3535  2.5528  2.0095  1.6518  1.2764  0.7651  0.3853  0.3411  1.7650  2.1270
 190  1.042310  3.7490  3.2272  1.1783  2.3445  2.5383  1.9877  1.6264  1.2475  0.7308  0.3472  0.3016  1.7407  2.1071
 191  1.042517  3.7473  3.2098  1.1891  2.3309  2.5196  1.9631  1.5986  1.2170  0.6960  0.3093  0.2628  1.7138  2.0839
 192  1.042719  3.7459  3.1929  1.2004  2.3149  2.4990  1.9372  1.5700  1.1858  0.6612  0.2722  0.2247  1.6860  2.0592
